index_id,index_name,frequency,tag,type,db_name,sql_query
S0063582,煤钢类_产量:生铁:河北:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0063582' and date >= '2019-10-27' and date <= '2022-03-31';
S0063585,煤钢类_产量:生铁:辽宁:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0063585' and date >= '2019-10-27' and date <= '2022-03-31';
S0063594,煤钢类_产量:生铁:山东:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0063594' and date >= '2019-10-27' and date <= '2022-03-31';
S0063589,煤钢类_产量:生铁:江苏:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0063589' and date >= '2019-10-27' and date <= '2022-03-31';
S0029332,煤钢类_产量:粗钢:河北:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0029332' and date >= '2019-10-27' and date <= '2022-03-31';
S0029353,煤钢类_产量:粗钢:辽宁:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0029353' and date >= '2019-10-27' and date <= '2022-03-31';
S0029381,煤钢类_产量:粗钢:江苏:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0029381' and date >= '2019-10-27' and date <= '2022-03-31';
S0029416,煤钢类_产量:粗钢:山东:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0029416' and date >= '2019-10-27' and date <= '2022-03-31';
S0027366,煤钢类_产量:铁矿石原矿量:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027366' and date >= '2019-10-27' and date <= '2022-03-31';
S0027370,煤钢类_产量:生铁:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027370' and date >= '2019-10-27' and date <= '2022-03-31';
S0027374,煤钢类_产量:粗钢:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027374' and date >= '2019-10-27' and date <= '2022-03-31';
S0027378,煤钢类_产量:钢材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027378' and date >= '2019-10-27' and date <= '2022-03-31';
S0027398,煤钢类_产量:盘条线材:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027398' and date >= '2019-10-27' and date <= '2022-03-31';
S5706262,煤钢类_产量:螺纹钢:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S5706262' and date >= '2019-10-27' and date <= '2022-03-31';
S0110186,煤钢类_产量:粗钢:全球:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0110186' and date >= '2019-10-27' and date <= '2022-03-31';
M0041571,煤钢类_进口数量:铁矿砂及其精矿:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M0041571' and date >= '2019-10-27' and date <= '2022-03-31';
S0027490,煤钢类_进口数量:钢材:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027490' and date >= '2019-10-27' and date <= '2022-03-31';
S0061923,煤钢类_进口数量:钢筋:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0061923' and date >= '2019-10-27' and date <= '2022-03-31';
S0062213,煤钢类_进口数量:钢坯:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062213' and date >= '2019-10-27' and date <= '2022-03-31';
S0060517,煤钢类_出口数量:钢坯:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060517' and date >= '2019-10-27' and date <= '2022-03-31';
S0060526,煤钢类_出口数量:铁矿砂及其精矿:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060526' and date >= '2019-10-27' and date <= '2022-03-31';
S0027493,煤钢类_出口数量:钢材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027493' and date >= '2019-10-27' and date <= '2022-03-31';
S0027499,煤钢类_出口数量:棒材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027499' and date >= '2019-10-27' and date <= '2022-03-31';
S0027511,煤钢类_出口数量:线材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0027511' and date >= '2019-10-27' and date <= '2022-03-31';
S0060227,煤钢类_出口数量:钢筋:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060227' and date >= '2019-10-27' and date <= '2022-03-31';
S0060950,煤钢类_出口金额:铁矿砂及其精矿:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060950' and date >= '2019-10-27' and date <= '2022-03-31';
S0060581,煤钢类_出口金额:钢材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060581' and date >= '2019-10-27' and date <= '2022-03-31';
S0060624,煤钢类_出口金额:棒材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060624' and date >= '2019-10-27' and date <= '2022-03-31';
S0060654,煤钢类_出口金额:线材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060654' and date >= '2019-10-27' and date <= '2022-03-31';
S0060960,煤钢类_出口金额:生铁:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060960' and date >= '2019-10-27' and date <= '2022-03-31';
S0060941,煤钢类_出口金额:钢坯:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060941' and date >= '2019-10-27' and date <= '2022-03-31';
S0060651,煤钢类_出口金额:钢筋:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0060651' and date >= '2019-10-27' and date <= '2022-03-31';
M0041572,煤钢类_进口金额:铁矿砂及其精矿:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'M0041572' and date >= '2019-10-27' and date <= '2022-03-31';
S0062277,煤钢类_进口金额:钢材:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062277' and date >= '2019-10-27' and date <= '2022-03-31';
S0062320,煤钢类_进口金额:棒材:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062320' and date >= '2019-10-27' and date <= '2022-03-31';
S0062350,煤钢类_进口金额:线材:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062350' and date >= '2019-10-27' and date <= '2022-03-31';
S0062347,煤钢类_进口金额:钢筋:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062347' and date >= '2019-10-27' and date <= '2022-03-31';
S0062656,煤钢类_进口金额:生铁:当月值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062656' and date >= '2019-10-27' and date <= '2022-03-31';
S0062637,煤钢类_进口金额:钢坯:当月值_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'S0062637' and date >= '2019-10-27' and date <= '2022-03-31';
M0000272,煤钢类_固定资产投资完成额:累计值_有极端值,月,累计,同比,steel,select * from final_data_value where index_id = 'M0000272' and date >= '2019-10-27' and date <= '2022-03-31';
M5207831,煤钢类_非制造业PMI:建筑业_有极端值,月,其他,同比,steel,select * from final_data_value where index_id = 'M5207831' and date >= '2019-10-27' and date <= '2022-03-31';
