日期,M2,1_煤钢类_进口金额:生铁:当月值,2_煤钢类_产量:钢材:当月值,3_煤钢类_产量:生铁:当月值,4_煤钢类_产量:盘条线材:当月值_有极端值,5_煤钢类_产量:粗钢:山东:当月值,6_煤钢类_产量:粗钢:当月值_有极端值,7_煤钢类_钢铁行业采购经理人指数(PMI):全国,8_煤钢类_进口数量:钢材:当月值_有极端值,9_煤钢类_产量:螺纹钢:当月值,10_煤钢类_进口数量:钢坯:当月值,11_煤钢类_进口数量:铁矿砂及其精矿:当月值,12_煤钢类_产量:生铁:河北:当月值
2019-10-31,10.6,0.367,10263.6,6558.2,1346.0,594.55,8152.1,41.3,103.0,2206.7,174683.378,9286.0,1640.73
2019-11-30,10.7,0.7564,10401.6,6477.1,1352.1,482.83,8028.7,45.4,104.0,2240.8,644956.813,9065.0,1721.33
2019-12-31,10.7,1.4309,10432.9,6706.3,1335.3,464.42,8426.50269,43.1,148.0,2186.0,863782.769,10130.0,1855.52
2020-01-31,10.7,1.144,10432.9,6706.3,1335.3,464.42,8426.50269,47.1,103.0,1754.5,709670.698,8950.0,1855.52
2020-02-29,10.7,0.9419,10432.9,6706.3,1335.3,464.42,8426.50269,36.6,101.0,1641.3,493919.184,8715.0,1855.52
2020-03-31,11.5,0.6585,9888.0,6697.2,1152.0,628.94,7897.5,42.2,114.0,1901.5,528577.13,8591.0,1839.44
2020-04-30,12.0,1.1285,10701.2,7202.1,1293.7,666.23,8503.3,45.9,101.0,2111.6,476032.56,9571.0,1916.83
2020-05-31,12.5,0.9893,11452.7,7731.5,1427.3,700.35,9226.7,50.9,128.0,2422.0,845142.704,8703.0,2044.09
2020-06-30,12.8,2.1866,11585.1,7663.5,1444.0,672.31,9252.030261,49.3,188.0,2446.5,2483960.452,10168.0,2018.76
2020-07-31,12.9,1.6378,11688.5,7818.3,1447.1,720.48,9442.020487,49.2,261.0,2392.2,2613021.032,11265.0,2058.81
2020-08-31,13.3,2.3403,11913.3,7854.6,1465.6,717.1,9592.521964,47.0,224.0,2413.3,3224041.454,10036.0,2032.63
2020-09-30,13.5,2.6506,11806.3,7578.3,1508.5,688.17,9357.681095,43.9,288.0,2342.2,2792508.217,10855.0,1899.34
2020-10-31,13.7,1.6497,11848.3,7617.1,1516.0,671.66,9328.175852,45.8,193.0,2378.1,1614079.589,10674.0,1884.35
2020-11-30,13.6,2.4805,11734.4,7200.5,1478.5,645.95,8874.785763,49.3,185.0,2327.1,1688985.242,9815.0,1734.16
2020-12-31,13.3,2.518,12033.8,7421.5,1468.4,675.16,9236.490497,45.8,137.0,2358.0,864675.266,9675.0,1835.74
2021-01-31,13.0,2.14286,12033.8,7421.5,1468.4,675.16,9236.490497,44.3,131.0,2127.18,815311.92,9100.0,1835.74
2021-02-28,13.3,1.255062,12033.8,7421.5,1468.4,675.16,9236.490497,48.6,108.0,1921.32,788791.125,9050.0,1835.74
2021-03-31,12.3,0.928065,11987.2,7474.5,1376.7,709.61,9402.1,47.9,132.0,2295.8,735731.828,10211.0,1765.17
2021-04-30,11.7,0.915576,12127.5,7597.2,1417.4,786.52,9784.6,45.4,117.0,2365.6,869275.439,9857.0,1734.37
2021-05-31,11.0,0.497995,12469.4,7815.0,1501.7,798.09,9945.4,46.1,121.0,2467.3,1232472.388,8979.0,1730.31
2021-06-30,11.0,0.247711,12072.3,7578.2,1420.2,761.55,9387.5,45.1,125.0,2475.5,1301719.124,8942.0,1573.98
2021-07-31,10.7,0.605601,11100.0,7285.0,1351.6,618.14,8679.0,43.1,105.0,2101.9,1043013.108,8851.0,1549.31
2021-08-31,10.3,0.894807,10880.4,7153.4,1257.8,538.55,8323.9,41.8,106.0,2012.3,1116134.462,9749.0,1609.41
2021-09-30,10.0,0.328926,10195.1,6518.7,1117.1,480.87,7375.0,45.0,126.0,1769.8,1457225.193,9561.0,1570.13
2021-10-31,10.0,0.489794,10173.69904,6302.72228,1174.3,403.04,7158.35561,38.3,113.0,1891.7,1359849.874,9161.0,1430.67
2021-11-30,10.1,1.048657,10102.9,6173.0,1102.5,453.45,6931.3,36.6,142.0,1776.6,1823886.812,10495.0,1382.34
2021-12-31,10.3,1.145857,11354.8,7209.5,1272.3,645.52,8619.3,38.7,100.0,2002.6,1166854.373,8607.0,1901.27
2022-01-31,10.5,1.266633,11354.8,7209.5,1272.3,645.52,8619.3,47.5,125.0,1829.42,1012168.033,9978.0,1901.27
2022-02-28,10.2,1.015657,11354.8,7209.5,1272.3,645.52,8619.3,47.3,95.0,1652.38,642778.025,8130.0,1901.27
2022-03-31,10.6,0.805537,11688.72039,7159.83967,1236.4,589.71,8829.48883,44.3,101.0,2039.9,860151.657,8728.0,1608.69
